Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Database,183. Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order/,Easy,Database
LeetCode,Database,184. Department Highest Salary,https://leetcode.com/problems/department-highest-salary/,Medium,Database
LeetCode,Database,185. Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries/,Hard,Database
LeetCode,Two Pointers,186. Reverse Words in a String II,https://leetcode.com/problems/reverse-words-in-a-string-ii/,Medium,"Two Pointers, String"
LeetCode,Hash Table,187. Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences/,Medium,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
LeetCode,Array,188. Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,"Array, Dynamic Programming"
LeetCode,Array,189. Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,"Array, Math, Two Pointers"
LeetCode,Divide and Conquer,190. Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,"Divide and Conquer, Bit Manipulation"
LeetCode,Divide and Conquer,191. Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Easy,"Divide and Conquer, Bit Manipulation"
LeetCode,Shell,192. Word Frequency,https://leetcode.com/problems/word-frequency/,Medium,Shell
LeetCode,Shell,193. Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers/,Easy,Shell
LeetCode,Shell,194. Transpose File,https://leetcode.com/problems/transpose-file/,Medium,Shell
LeetCode,Shell,195. Tenth Line,https://leetcode.com/problems/tenth-line/,Easy,Shell
LeetCode,Database,196. Delete Duplicate Emails,https://leetcode.com/problems/delete-duplicate-emails/,Easy,Database
LeetCode,Database,197. Rising Temperature,https://leetcode.com/problems/rising-temperature/,Easy,Database
LeetCode,Array,198. House Robber,https://leetcode.com/problems/house-robber/,Medium,"Array, Dynamic Programming"
LeetCode,Tree,199. Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
LeetCode,Array,200. Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
LeetCode,Bit Manipulation,201. Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/,Medium,Bit Manipulation
LeetCode,Hash Table,202. Happy Number,https://leetcode.com/problems/happy-number/,Easy,"Hash Table, Math, Two Pointers"
LeetCode,Linked List,203. Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,Easy,"Linked List, Recursion"
LeetCode,Array,204. Count Primes,https://leetcode.com/problems/count-primes/,Medium,"Array, Math, Enumeration, Number Theory"
LeetCode,Hash Table,205. Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,"Hash Table, String"
LeetCode,Linked List,206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,"Linked List, Recursion"
LeetCode,Depth-First Search,207. Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
LeetCode,Hash Table,208. Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,"Hash Table, String, Design, Trie"
LeetCode,Array,209. Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,"Array, Binary Search, Sliding Window, Prefix Sum"
LeetCode,Depth-First Search,210. Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
